Timestamp,Tag,Source,Destination
1700958449.040444,fetch,trainer9,aggregator
1700958450.6154735,sending,aggregator,trainer9
1700958453.2177997,upload,trainer9,aggregator
1700958453.270352,fetch,trainer9,aggregator
1700958465.5202954,received,aggregator,trainer9
1700958465.6179678,sending,aggregator,trainer9
1700958467.7868032,upload,trainer9,aggregator
1700958467.84057,fetch,trainer9,aggregator
1700958472.4584985,received,aggregator,trainer9
1700958485.245334,sending,aggregator,trainer9
1700958487.3587525,upload,trainer9,aggregator
1700958487.4213114,fetch,trainer9,aggregator
1700958498.3871255,received,aggregator,trainer9
1700958564.655175,sending,aggregator,trainer9
1700958566.832216,upload,trainer9,aggregator
1700958566.8863342,fetch,trainer9,aggregator
1700958577.820826,received,aggregator,trainer9
1700958584.4244697,sending,aggregator,trainer9
1700958586.6020408,upload,trainer9,aggregator
1700958586.6530712,fetch,trainer9,aggregator
1700958597.7950869,received,aggregator,trainer9
1700958597.8245156,sending,aggregator,trainer9
1700958600.0557318,upload,trainer9,aggregator
1700958600.1096675,fetch,trainer9,aggregator
1700958610.945783,received,aggregator,trainer9
1700958624.5721252,sending,aggregator,trainer9
1700958626.6825328,upload,trainer9,aggregator
1700958626.729905,fetch,trainer9,aggregator
1700958631.2716224,received,aggregator,trainer9
1700958637.8094578,sending,aggregator,trainer9
1700958639.6671667,upload,trainer9,aggregator
1700958639.7167742,fetch,trainer9,aggregator
1700958644.9533691,received,aggregator,trainer9
1700958703.3710375,sending,aggregator,trainer9
1700958705.5152304,upload,trainer9,aggregator
1700958705.5583642,fetch,trainer9,aggregator
1700958716.9912086,received,aggregator,trainer9
1700958742.4583974,sending,aggregator,trainer9
1700958744.635735,upload,trainer9,aggregator
1700958744.687814,fetch,trainer9,aggregator
1700958749.630363,received,aggregator,trainer9
1700958756.3841164,sending,aggregator,trainer9
1700958758.4408522,upload,trainer9,aggregator
1700958758.482555,fetch,trainer9,aggregator
1700958769.49909,received,aggregator,trainer9
