Timestamp,Tag,Source,Destination
1700958449.205553,fetch,trainer2,aggregator
1700958450.5974872,sending,aggregator,trainer2
1700958452.8156185,upload,trainer2,aggregator
1700958452.8744156,fetch,trainer2,aggregator
1700958458.9887764,received,aggregator,trainer2
1700958478.4608345,sending,aggregator,trainer2
1700958480.1136415,upload,trainer2,aggregator
1700958480.164548,fetch,trainer2,aggregator
1700958485.2932954,received,aggregator,trainer2
1700958491.838786,sending,aggregator,trainer2
1700958493.4436424,upload,trainer2,aggregator
1700958493.4925432,fetch,trainer2,aggregator
1700958505.1274617,received,aggregator,trainer2
1700958551.617264,sending,aggregator,trainer2
1700958553.2802043,upload,trainer2,aggregator
1700958553.3315008,fetch,trainer2,aggregator
1700958564.5477595,received,aggregator,trainer2
1700958611.0521138,sending,aggregator,trainer2
1700958612.791492,upload,trainer2,aggregator
1700958612.842311,fetch,trainer2,aggregator
1700958617.7394142,received,aggregator,trainer2
1700958651.539158,sending,aggregator,trainer2
1700958653.31724,upload,trainer2,aggregator
1700958653.3703437,fetch,trainer2,aggregator
1700958657.6274374,received,aggregator,trainer2
1700958683.3293734,sending,aggregator,trainer2
1700958685.0650344,upload,trainer2,aggregator
1700958685.1138844,fetch,trainer2,aggregator
1700958690.2785237,received,aggregator,trainer2
1700958703.4510992,sending,aggregator,trainer2
1700958705.068261,upload,trainer2,aggregator
1700958705.124253,fetch,trainer2,aggregator
1700958710.3614624,received,aggregator,trainer2
1700958736.2856257,sending,aggregator,trainer2
1700958737.8054595,upload,trainer2,aggregator
1700958737.860364,fetch,trainer2,aggregator
1700958749.4726307,received,aggregator,trainer2
1700958756.2955694,sending,aggregator,trainer2
1700958757.8938165,upload,trainer2,aggregator
1700958757.9452398,fetch,trainer2,aggregator
1700958763.0774488,received,aggregator,trainer2
