Timestamp,Tag,Source,Destination
1700958449.2099376,fetch,trainer1,aggregator
1700958465.5483036,sending,aggregator,trainer1
1700958468.6573155,upload,trainer1,aggregator
1700958468.7022393,fetch,trainer1,aggregator
1700958478.5218537,received,aggregator,trainer1
1700958498.4143791,sending,aggregator,trainer1
1700958500.842979,upload,trainer1,aggregator
1700958500.8900342,fetch,trainer1,aggregator
1700958511.6621535,received,aggregator,trainer1
1700958544.7636445,sending,aggregator,trainer1
1700958547.2127774,upload,trainer1,aggregator
1700958547.2621882,fetch,trainer1,aggregator
1700958557.9640613,received,aggregator,trainer1
1700958591.3238497,sending,aggregator,trainer1
1700958593.5552146,upload,trainer1,aggregator
1700958593.605403,fetch,trainer1,aggregator
1700958604.524205,received,aggregator,trainer1
1700958610.885286,sending,aggregator,trainer1
1700958613.426381,upload,trainer1,aggregator
1700958613.4776812,fetch,trainer1,aggregator
1700958624.6341994,received,aggregator,trainer1
1700958624.7562735,sending,aggregator,trainer1
1700958627.140184,upload,trainer1,aggregator
1700958627.1948311,fetch,trainer1,aggregator
1700958637.866746,received,aggregator,trainer1
1700958644.736195,sending,aggregator,trainer1
1700958647.2241983,upload,trainer1,aggregator
1700958647.2724736,fetch,trainer1,aggregator
1700958657.4509523,received,aggregator,trainer1
1700958663.4991264,sending,aggregator,trainer1
1700958665.7834754,upload,trainer1,aggregator
1700958665.823124,fetch,trainer1,aggregator
1700958677.2209516,received,aggregator,trainer1
1700958690.2430556,sending,aggregator,trainer1
1700958692.4735076,upload,trainer1,aggregator
1700958692.5201375,fetch,trainer1,aggregator
1700958703.421515,received,aggregator,trainer1
1700958723.6287546,sending,aggregator,trainer1
1700958725.9850123,upload,trainer1,aggregator
1700958726.0251417,fetch,trainer1,aggregator
1700958736.16584,received,aggregator,trainer1
1700958742.5359735,sending,aggregator,trainer1
1700958744.9608428,upload,trainer1,aggregator
1700958745.008674,fetch,trainer1,aggregator
1700958756.3505733,received,aggregator,trainer1
1700958769.439612,sending,aggregator,trainer1
1700958771.91703,upload,trainer1,aggregator
1700958771.9676104,fetch,trainer1,aggregator
